symbol,rate_volatility,consecutive_positive_periods,oi_change_rate,coin_category,survival_rate
1000BONKUSDT,0.0051,85,0.0015,niche_crypto,0.0
1000CHEEMSUSDT,0.004,36,0.0,niche_crypto,0.0
1000LUNCUSDT,0.0204,4,-0.0139,niche_crypto,0.0
1000PEPEUSDT,0.0231,7,0.0168,niche_crypto,0.0
1000SHIBUSDT,0.0122,15,0.005,niche_crypto,0.0
1000XECUSDT,0.0996,38,-0.0338,niche_crypto,0.0
2ZUSDT,0.0078,53,0.0037,niche_crypto,0.0
AAVEUSDT,0.0065,14,-0.0001,niche_crypto,0.0
ADAUSDT,0.0102,19,0.0039,niche_crypto,0.0
AIAUSDT,0.0361,122,-0.0073,niche_crypto,0.262
AIGENSYNUSDT,0.0786,51,-0.1231,niche_crypto,0.0
AINUSDT,0.0265,200,0.0007,sticky_coin,1.0
AIOUSDT,0.0102,200,0.0021,sticky_coin,1.0
ALCHUSDT,0.0098,200,0.0011,sticky_coin,1.0
ALGOUSDT,0.0119,13,0.0026,niche_crypto,0.0
ALICEUSDT,0.0829,68,0.0078,niche_crypto,0.0
ALTUSDT,0.006,66,0.0013,niche_crypto,0.0
AMDUSDT,0.0825,15,-0.2245,niche_crypto,0.8
APEUSDT,0.0592,2,-0.0075,niche_crypto,0.0
APRUSDT,0.0242,200,-0.0161,sticky_coin,1.0
APTUSDT,0.0199,14,0.0094,niche_crypto,0.0
ARBUSDT,0.0083,16,-0.0001,niche_crypto,0.0
ARCUSDT,0.0198,212,-0.0051,sticky_coin,1.0
ASTERUSDT,0.0046,65,0.0005,niche_crypto,0.0
ATOMUSDT,0.018,20,0.0134,niche_crypto,0.0
ATUSDT,0.0,200,0.0,sticky_coin,1.0
AVAXUSDT,0.0091,10,0.0012,niche_crypto,0.0
AVNTUSDT,0.0196,50,0.0088,niche_crypto,0.0
AXSUSDT,0.0454,44,0.0101,niche_crypto,0.0
BANANAS31USDT,0.0054,59,-0.0008,niche_crypto,0.0
BASEDUSDT,0.0295,68,0.0055,niche_crypto,0.0
BASUSDT,0.0289,234,-0.0112,sticky_coin,1.0
BBUSDT,0.0359,35,-0.0038,niche_crypto,0.0
BCHUSDT,0.0095,10,-0.0035,niche_crypto,0.0
BEATUSDT,0.0139,200,-0.0047,sticky_coin,1.0
BILLUSDT,0.0202,49,-0.0281,niche_crypto,0.928
BIOUSDT,0.0695,14,0.0162,niche_crypto,0.0
BLUAIUSDT,0.0236,104,0.0056,sticky_coin,0.117
BNBUSDT,0.0035,14,0.0022,major_crypto,0.0
BOMEUSDT,0.0069,28,0.0037,niche_crypto,0.0
BSBUSDT,0.0313,108,-0.0031,niche_crypto,0.113
BTCUSDT,0.0043,10,0.0011,major_crypto,0.0
BUSDT,0.0364,258,0.0127,sticky_coin,1.0
BZUSDT,0.1227,22,-0.0201,niche_crypto,0.0
CCUSDT,0.004,60,0.0007,niche_crypto,0.0
